MacherTypes	SelectorTypes	DetectorType	descriptorType	FrameNo	No of KP	 KP-time 	No of Desc	Desc-time	No of Match	Match-time
MAT_BF     	SEL_NN     	ORB       	ORB       	8	127	4124	[32 x 127]	6525	91	132
MAT_BF     	SEL_NN     	ORB       	ORB       	9	128	4138	[32 x 128]	6496	93	160
MAT_BF     	SEL_NN     	ORB       	FREAK    	0	46	19991	[64 x 46]	30387	0	0
MAT_BF     	SEL_NN     	ORB       	FREAK    	1	53	4199	[64 x 53]	17402	39	95
MAT_BF     	SEL_NN     	ORB       	FREAK    	2	56	4095	[64 x 56]	17224	45	95
MAT_BF     	SEL_NN     	ORB       	FREAK    	3	65	4046	[64 x 65]	17038	43	102
MAT_BF     	SEL_NN     	ORB       	FREAK    	4	55	4090	[64 x 55]	17064	44	97
MAT_BF     	SEL_NN     	ORB       	FREAK    	5	64	4045	[64 x 64]	17073	41	103
MAT_BF     	SEL_NN     	ORB       	FREAK    	6	66	4097	[64 x 66]	17207	48	104
MAT_BF     	SEL_NN     	ORB       	FREAK    	7	71	4042	[64 x 71]	16989	50	107
MAT_BF     	SEL_NN     	ORB       	FREAK    	8	73	4069	[64 x 73]	17339	47	103
MAT_BF     	SEL_NN     	ORB       	FREAK    	9	71	4101	[64 x 71]	16800	55	110
MAT_BF     	SEL_NN     	ORB       	AKAZE    	0	92	8125	[0 x 0]	-1	0	0
MAT_BF     	SEL_NN     	ORB       	AKAZE    	1	102	4084	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	ORB       	AKAZE    	2	106	4171	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	ORB       	AKAZE    	3	113	4041	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	ORB       	AKAZE    	4	109	4099	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	ORB       	AKAZE    	5	125	4122	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	ORB       	AKAZE    	6	130	4154	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	ORB       	AKAZE    	7	129	4102	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	ORB       	AKAZE    	8	127	4121	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	ORB       	AKAZE    	9	128	4158	[0 x 0]	-1	0	3
MAT_BF     	SEL_NN     	ORB       	SIFT     	0	92	21022	[128 x 92]	24345	0	0
MAT_BF     	SEL_NN     	ORB       	SIFT     	1	102	4837	[128 x 102]	13192	63	71
MAT_BF     	SEL_NN     	ORB       	SIFT     	2	106	4067	[128 x 106]	13356	70	79
MAT_BF     	SEL_NN     	ORB       	SIFT     	3	113	4102	[128 x 113]	13774	69	698
MAT_BF     	SEL_NN     	ORB       	SIFT     	4	109	4117	[128 x 109]	13140	74	140
MAT_BF     	SEL_NN     	ORB       	SIFT     	5	125	4046	[128 x 125]	13105	83	91
MAT_BF     	SEL_NN     	ORB       	SIFT     	6	130	4203	[128 x 130]	13611	89	105
MAT_BF     	SEL_NN     	ORB       	SIFT     	7	129	4196	[128 x 129]	14396	94	170
MAT_BF     	SEL_NN     	ORB       	SIFT     	8	127	4099	[128 x 127]	14844	87	143
MAT_BF     	SEL_NN     	ORB       	SIFT     	9	128	4217	[128 x 128]	13889	89	114
MAT_BF     	SEL_NN     	AKAZE    	BRISK     	0	166	49448	[64 x 166]	19360	0	0
MAT_BF     	SEL_NN     	AKAZE    	BRISK     	1	157	23502	[64 x 157]	18419	140	201
MAT_BF     	SEL_NN     	AKAZE    	BRISK     	2	161	23582	[64 x 161]	18617	128	195
MAT_BF     	SEL_NN     	AKAZE    	BRISK     	3	155	23590	[64 x 155]	18721	133	190
MAT_BF     	SEL_NN     	AKAZE    	BRISK     	4	163	23823	[64 x 163]	18387	134	201
MAT_BF     	SEL_NN     	AKAZE    	BRISK     	5	164	23599	[64 x 164]	18534	138	192
MAT_BF     	SEL_NN     	AKAZE    	BRISK     	6	173	23936	[64 x 173]	19403	140	193
MAT_BF     	SEL_NN     	AKAZE    	BRISK     	7	175	23794	[64 x 175]	18503	145	204
MAT_BF     	SEL_NN     	AKAZE    	BRISK     	8	177	23622	[64 x 177]	18673	151	191
MAT_BF     	SEL_NN     	AKAZE    	BRISK     	9	179	23597	[64 x 179]	18427	147	224
MAT_BF     	SEL_NN     	AKAZE    	BRIEF    	0	166	51158	[32 x 166]	498	0	0
MAT_BF     	SEL_NN     	AKAZE    	BRIEF    	1	157	23753	[32 x 157]	395	139	98
MAT_BF     	SEL_NN     	AKAZE    	BRIEF    	2	161	23473	[32 x 161]	383	131	97
MAT_BF     	SEL_NN     	AKAZE    	BRIEF    	3	155	23736	[32 x 155]	406	132	104
MAT_BF     	SEL_NN     	AKAZE    	BRIEF    	4	163	24065	[32 x 163]	410	129	96
MAT_BF     	SEL_NN     	AKAZE    	BRIEF    	5	164	23888	[32 x 164]	395	131	102
MAT_BF     	SEL_NN     	AKAZE    	BRIEF    	6	173	23515	[32 x 173]	418	143	104
MAT_BF     	SEL_NN     	AKAZE    	BRIEF    	7	175	24317	[32 x 175]	425	151	112
MAT_BF     	SEL_NN     	AKAZE    	BRIEF    	8	177	23769	[32 x 177]	423	151	110
MAT_BF     	SEL_NN     	AKAZE    	BRIEF    	9	179	23555	[32 x 179]	424	146	113
MAT_BF     	SEL_NN     	AKAZE    	ORB       	0	166	48742	[32 x 166]	10749	0	0
MAT_BF     	SEL_NN     	AKAZE    	ORB       	1	157	32713	[32 x 157]	5094	127	177
MAT_BF     	SEL_NN     	AKAZE    	ORB       	2	161	23544	[32 x 161]	4606	131	156
MAT_BF     	SEL_NN     	AKAZE    	ORB       	3	155	23855	[32 x 155]	4412	127	170
MAT_BF     	SEL_NN     	AKAZE    	ORB       	4	163	23775	[32 x 163]	4578	128	158
MAT_BF     	SEL_NN     	AKAZE    	ORB       	5	164	23473	[32 x 164]	4527	129	163
MAT_BF     	SEL_NN     	AKAZE    	ORB       	6	173	23691	[32 x 173]	4360	137	162
MAT_BF     	SEL_NN     	AKAZE    	ORB       	7	175	23947	[32 x 175]	4401	140	187
MAT_BF     	SEL_NN     	AKAZE    	ORB       	8	177	23908	[32 x 177]	4441	143	181
MAT_BF     	SEL_NN     	AKAZE    	ORB       	9	179	23944	[32 x 179]	4441	144	186
MAT_BF     	SEL_NN     	AKAZE    	FREAK    	0	166	49890	[64 x 166]	32272	0	0
MAT_BF     	SEL_NN     	AKAZE    	FREAK    	1	157	24418	[64 x 157]	17440	141	169
MAT_BF     	SEL_NN     	AKAZE    	FREAK    	2	161	23549	[64 x 161]	17422	132	185
MAT_BF     	SEL_NN     	AKAZE    	FREAK    	3	155	23593	[64 x 155]	17860	134	174
MAT_BF     	SEL_NN     	AKAZE    	FREAK    	4	163	23370	[64 x 163]	17420	129	178
MAT_BF     	SEL_NN     	AKAZE    	FREAK    	5	164	23594	[64 x 164]	17608	127	184
MAT_BF     	SEL_NN     	AKAZE    	FREAK    	6	173	23735	[64 x 173]	17813	141	203
MAT_BF     	SEL_NN     	AKAZE    	FREAK    	7	175	23366	[64 x 175]	17824	148	201
MAT_BF     	SEL_NN     	AKAZE    	FREAK    	8	177	23381	[64 x 177]	17886	150	166
MAT_BF     	SEL_NN     	AKAZE    	FREAK    	9	179	23369	[64 x 179]	17504	149	205
MAT_BF     	SEL_NN     	AKAZE    	AKAZE    	0	166	48544	[61 x 166]	20564	0	0
MAT_BF     	SEL_NN     	AKAZE    	AKAZE    	1	157	23670	[61 x 157]	18840	133	114
MAT_BF     	SEL_NN     	AKAZE    	AKAZE    	2	161	23469	[61 x 161]	19002	135	109
MAT_BF     	SEL_NN     	AKAZE    	AKAZE    	3	155	23782	[61 x 155]	19173	127	109
MAT_BF     	SEL_NN     	AKAZE    	AKAZE    	4	163	23571	[61 x 163]	19236	131	110
MAT_BF     	SEL_NN     	AKAZE    	AKAZE    	5	164	23347	[61 x 164]	18969	131	115
MAT_BF     	SEL_NN     	AKAZE    	AKAZE    	6	173	23611	[61 x 173]	19080	141	119
MAT_BF     	SEL_NN     	AKAZE    	AKAZE    	7	175	23696	[61 x 175]	19227	148	128
MAT_BF     	SEL_NN     	AKAZE    	AKAZE    	8	177	23775	[61 x 177]	19177	149	133
MAT_BF     	SEL_NN     	AKAZE    	AKAZE    	9	179	23591	[61 x 179]	19009	155	132
MAT_BF     	SEL_NN     	AKAZE    	SIFT     	0	166	55942	[128 x 166]	29988	0	0
MAT_BF     	SEL_NN     	AKAZE    	SIFT     	1	157	31952	[128 x 157]	11179	136	155
MAT_BF     	SEL_NN     	AKAZE    	SIFT     	2	161	23397	[128 x 161]	10227	135	165
MAT_BF     	SEL_NN     	AKAZE    	SIFT     	3	155	24016	[128 x 155]	10553	134	164
MAT_BF     	SEL_NN     	AKAZE    	SIFT     	4	163	23961	[128 x 163]	10267	137	148
MAT_BF     	SEL_NN     	AKAZE    	SIFT     	5	164	23600	[128 x 164]	10173	140	315
MAT_BF     	SEL_NN     	AKAZE    	SIFT     	6	173	23565	[128 x 173]	10274	142	164
MAT_BF     	SEL_NN     	AKAZE    	SIFT     	7	175	23697	[128 x 175]	10276	151	171
MAT_BF     	SEL_NN     	AKAZE    	SIFT     	8	177	24182	[128 x 177]	10289	149	174
MAT_BF     	SEL_NN     	AKAZE    	SIFT     	9	179	23476	[128 x 179]	10213	153	180
MAT_BF     	SEL_NN     	SIFT     	BRISK     	0	137	77793	[64 x 137]	18631	0	0
MAT_BF     	SEL_NN     	SIFT     	BRISK     	1	132	57720	[64 x 132]	18294	76	159
MAT_BF     	SEL_NN     	SIFT     	BRISK     	2	124	56754	[64 x 124]	18104	70	166
MAT_BF     	SEL_NN     	SIFT     	BRISK     	3	137	59048	[64 x 137]	18306	76	153
MAT_BF     	SEL_NN     	SIFT     	BRISK     	4	134	55646	[64 x 134]	17992	78	172
MAT_BF     	SEL_NN     	SIFT     	BRISK     	5	140	57516	[64 x 140]	18341	81	177
MAT_BF     	SEL_NN     	SIFT     	BRISK     	6	137	63264	[64 x 137]	18783	76	163
MAT_BF     	SEL_NN     	SIFT     	BRISK     	7	148	56509	[64 x 148]	18180	71	179
MAT_BF     	SEL_NN     	SIFT     	BRISK     	8	159	57231	[64 x 159]	18223	89	188
MAT_BF     	SEL_NN     	SIFT     	BRISK     	9	137	59234	[64 x 137]	18453	85	183
MAT_BF     	SEL_NN     	SIFT     	BRIEF    	0	138	78528	[32 x 138]	363	0	0
MAT_BF     	SEL_NN     	SIFT     	BRIEF    	1	132	57059	[32 x 132]	343	83	153
MAT_BF     	SEL_NN     	SIFT     	BRIEF    	2	124	57190	[32 x 124]	345	76	151
MAT_BF     	SEL_NN     	SIFT     	BRIEF    	3	137	58942	[32 x 137]	362	83	151
MAT_BF     	SEL_NN     	SIFT     	BRIEF    	4	134	55514	[32 x 134]	354	89	158
MAT_BF     	SEL_NN     	SIFT     	BRIEF    	5	140	57860	[32 x 140]	366	83	161
MAT_BF     	SEL_NN     	SIFT     	BRIEF    	6	137	59796	[32 x 137]	345	81	147
MAT_BF     	SEL_NN     	SIFT     	BRIEF    	7	148	55292	[32 x 148]	375	74	161
MAT_BF     	SEL_NN     	SIFT     	BRIEF    	8	159	56851	[32 x 159]	384	94	172
MAT_BF     	SEL_NN     	SIFT     	BRIEF    	9	137	60295	[32 x 137]	405	90	171
MAT_BF     	SEL_NN     	SIFT     	ORB       	0	138	81116	[0 x 0]	-1	0	0
MAT_BF     	SEL_NN     	SIFT     	ORB       	1	132	56727	[0 x 0]	-1	0	3
MAT_BF     	SEL_NN     	SIFT     	ORB       	2	124	45925	[0 x 0]	-1	0	3
MAT_BF     	SEL_NN     	SIFT     	ORB       	3	137	46075	[0 x 0]	-1	0	3
MAT_BF     	SEL_NN     	SIFT     	ORB       	4	134	47314	[0 x 0]	-1	0	3
MAT_BF     	SEL_NN     	SIFT     	ORB       	5	140	47454	[0 x 0]	-1	0	3
MAT_BF     	SEL_NN     	SIFT     	ORB       	6	137	57097	[0 x 0]	-1	0	3
MAT_BF     	SEL_NN     	SIFT     	ORB       	7	148	56921	[0 x 0]	-1	0	4
MAT_BF     	SEL_NN     	SIFT     	ORB       	8	159	47023	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	SIFT     	ORB       	9	137	46328	[0 x 0]	-1	0	4
MAT_BF     	SEL_NN     	SIFT     	FREAK    	0	137	68294	[64 x 137]	17088	0	0
MAT_BF     	SEL_NN     	SIFT     	FREAK    	1	131	45673	[64 x 131]	17541	74	137
MAT_BF     	SEL_NN     	SIFT     	FREAK    	2	123	45799	[64 x 123]	17333	72	149
MAT_BF     	SEL_NN     	SIFT     	FREAK    	3	136	46329	[64 x 136]	17757	76	135
MAT_BF     	SEL_NN     	SIFT     	FREAK    	4	133	45868	[64 x 133]	17326	79	151
MAT_BF     	SEL_NN     	SIFT     	FREAK    	5	139	45623	[64 x 139]	18610	78	172
MAT_BF     	SEL_NN     	SIFT     	FREAK    	6	135	56179	[64 x 135]	18691	73	155
MAT_BF     	SEL_NN     	SIFT     	FREAK    	7	147	56067	[64 x 147]	18330	65	166
MAT_BF     	SEL_NN     	SIFT     	FREAK    	8	158	56537	[64 x 158]	19472	82	512
MAT_BF     	SEL_NN     	SIFT     	FREAK    	9	135	57174	[64 x 135]	18617	84	167
MAT_BF     	SEL_NN     	SIFT     	AKAZE    	0	138	86428	[0 x 0]	-1	0	0
MAT_BF     	SEL_NN     	SIFT     	AKAZE    	1	132	46196	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	SIFT     	AKAZE    	2	124	45805	[0 x 0]	-1	0	3
MAT_BF     	SEL_NN     	SIFT     	AKAZE    	3	137	45656	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	SIFT     	AKAZE    	4	134	47735	[0 x 0]	-1	0	3
MAT_BF     	SEL_NN     	SIFT     	AKAZE    	5	140	48898	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	SIFT     	AKAZE    	6	137	46869	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	SIFT     	AKAZE    	7	148	46721	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	SIFT     	AKAZE    	8	159	46428	[0 x 0]	-1	0	3
MAT_BF     	SEL_NN     	SIFT     	AKAZE    	9	137	57484	[0 x 0]	-1	0	2
MAT_BF     	SEL_NN     	SIFT     	SIFT     	0	138	81564	[128 x 138]	49510	0	0
MAT_BF     	SEL_NN     	SIFT     	SIFT     	1	132	47022	[128 x 132]	37531	91	111
MAT_BF     	SEL_NN     	SIFT     	SIFT     	2	124	46292	[128 x 124]	38222	80	103
MAT_BF     	SEL_NN     	SIFT     	SIFT     	3	137	46159	[128 x 137]	38913	89	106
MAT_BF     	SEL_NN     	SIFT     	SIFT     	4	134	45477	[128 x 134]	37325	93	113
MAT_BF     	SEL_NN     	SIFT     	SIFT     	5	140	46163	[128 x 140]	37877	96	115
MAT_BF     	SEL_NN     	SIFT     	SIFT     	6	137	46995	[128 x 137]	38661	86	146
MAT_BF     	SEL_NN     	SIFT     	SIFT     	7	148	47469	[128 x 148]	37680	90	120
MAT_BF     	SEL_NN     	SIFT     	SIFT     	8	159	46157	[128 x 159]	37245	105	137
MAT_BF     	SEL_NN     	SIFT     	SIFT     	9	137	49267	[128 x 137]	37888	102	130
MAT_BF     	SEL_KNN    	SHITOMASI 	BRISK     	0	125	13875	[64 x 125]	22953	0	0
MAT_BF     	SEL_KNN    	SHITOMASI 	BRISK     	1	118	6913	[64 x 118]	10908	125	123
MAT_BF     	SEL_KNN    	SHITOMASI 	BRISK     	2	123	5500	[64 x 123]	9753	118	126
MAT_BF     	SEL_KNN    	SHITOMASI 	BRISK     	3	120	5460	[64 x 120]	9597	123	130
MAT_BF     	SEL_KNN    	SHITOMASI 	BRISK     	4	120	5485	[64 x 120]	9654	120	127
MAT_BF     	SEL_KNN    	SHITOMASI 	BRISK     	5	113	5421	[64 x 113]	9678	120	128
MAT_BF     	SEL_KNN    	SHITOMASI 	BRISK     	6	114	5457	[64 x 114]	9653	113	122
MAT_BF     	SEL_KNN    	SHITOMASI 	BRISK     	7	123	5494	[64 x 123]	9810	114	119
MAT_BF     	SEL_KNN    	SHITOMASI 	BRISK     	8	111	5463	[64 x 111]	9638	123	129
MAT_BF     	SEL_KNN    	SHITOMASI 	BRISK     	9	112	5485	[64 x 112]	9628	111	127
MAT_BF     	SEL_KNN    	SHITOMASI 	BRIEF    	0	125	17402	[32 x 125]	919	0	0
MAT_BF     	SEL_KNN    	SHITOMASI 	BRIEF    	1	118	9454	[32 x 118]	395	125	127
MAT_BF     	SEL_KNN    	SHITOMASI 	BRIEF    	2	123	9297	[32 x 123]	295	118	112
MAT_BF     	SEL_KNN    	SHITOMASI 	BRIEF    	3	120	6360	[32 x 120]	267	123	109
MAT_BF     	SEL_KNN    	SHITOMASI 	BRIEF    	4	120	5976	[32 x 120]	261	120	115
MAT_BF     	SEL_KNN    	SHITOMASI 	BRIEF    	5	113	5390	[32 x 113]	245	120	107
MAT_BF     	SEL_KNN    	SHITOMASI 	BRIEF    	6	114	5303	[32 x 114]	256	113	111
MAT_BF     	SEL_KNN    	SHITOMASI 	BRIEF    	7	123	5432	[32 x 123]	262	114	109
MAT_BF     	SEL_KNN    	SHITOMASI 	BRIEF    	8	111	5331	[32 x 111]	242	123	114
MAT_BF     	SEL_KNN    	SHITOMASI 	BRIEF    	9	112	5206	[32 x 112]	249	111	105
MAT_BF     	SEL_KNN    	SHITOMASI 	ORB       	0	125	15054	[32 x 125]	5668	0	0
MAT_BF     	SEL_KNN    	SHITOMASI 	ORB       	1	118	9257	[32 x 118]	2932	125	126
MAT_BF     	SEL_KNN    	SHITOMASI 	ORB       	2	123	6238	[32 x 123]	2224	118	108
MAT_BF     	SEL_KNN    	SHITOMASI 	ORB       	3	120	5251	[32 x 120]	1855	123	107
MAT_BF     	SEL_KNN    	SHITOMASI 	ORB       	4	120	5401	[32 x 120]	1915	120	116
MAT_BF     	SEL_KNN    	SHITOMASI 	ORB       	5	113	5293	[32 x 113]	1922	120	113
MAT_BF     	SEL_KNN    	SHITOMASI 	ORB       	6	114	5222	[32 x 114]	1848	113	100
MAT_BF     	SEL_KNN    	SHITOMASI 	ORB       	7	123	5499	[32 x 123]	1902	114	108
MAT_BF     	SEL_KNN    	SHITOMASI 	ORB       	8	111	5345	[32 x 111]	1904	123	112
MAT_BF     	SEL_KNN    	SHITOMASI 	ORB       	9	112	5211	[32 x 112]	1849	111	106
MAT_BF     	SEL_KNN    	SHITOMASI 	FREAK    	0	125	10134	[64 x 125]	17637	0	0
MAT_BF     	SEL_KNN    	SHITOMASI 	FREAK    	1	118	5413	[64 x 118]	16912	125	106
MAT_BF     	SEL_KNN    	SHITOMASI 	FREAK    	2	123	5336	[64 x 123]	16756	118	112
MAT_BF     	SEL_KNN    	SHITOMASI 	FREAK    	3	120	5287	[64 x 120]	16853	123	118
MAT_BF     	SEL_KNN    	SHITOMASI 	FREAK    	4	120	5219	[64 x 120]	16955	120	111
MAT_BF     	SEL_KNN    	SHITOMASI 	FREAK    	5	113	5224	[64 x 113]	17246	120	108
MAT_BF     	SEL_KNN    	SHITOMASI 	FREAK    	6	114	5275	[64 x 114]	17600	113	97
MAT_BF     	SEL_KNN    	SHITOMASI 	FREAK    	7	123	5660	[64 x 123]	17875	114	107
MAT_BF     	SEL_KNN    	SHITOMASI 	FREAK    	8	111	5458	[64 x 111]	17546	123	109
MAT_BF     	SEL_KNN    	SHITOMASI 	FREAK    	9	112	5450	[64 x 112]	17702	111	97
MAT_BF     	SEL_KNN    	SHITOMASI 	AKAZE    	0	125	19039	[0 x 0]	-1	0	0
MAT_BF     	SEL_KNN    	SHITOMASI 	AKAZE    	1	118	6357	[0 x 0]	-1	0	3
MAT_BF     	SEL_KNN    	SHITOMASI 	AKAZE    	2	123	6716	[0 x 0]	-1	0	3
MAT_BF     	SEL_KNN    	SHITOMASI 	AKAZE    	3	120	6360	[0 x 0]	-1	0	3
MAT_BF     	SEL_KNN    	SHITOMASI 	AKAZE    	4	120	6504	[0 x 0]	-1	0	3
MAT_BF     	SEL_KNN    	SHITOMASI 	AKAZE    	5	113	7747	[0 x 0]	-1	0	3
MAT_BF     	SEL_KNN    	SHITOMASI 	AKAZE    	6	114	5796	[0 x 0]	-1	0	3
MAT_BF     	SEL_KNN    	SHITOMASI 	AKAZE    	7	123	5835	[0 x 0]	-1	0	2
MAT_BF     	SEL_KNN    	SHITOMASI 	AKAZE    	8	111	6280	[0 x 0]	-1	0	3
MAT_BF     	SEL_KNN    	SHITOMASI 	AKAZE    	9	112	7072	[0 x 0]	-1	0	3
MAT_BF     	SEL_KNN    	SHITOMASI 	SIFT     	0	125	16531	[128 x 125]	16098	0	0
MAT_BF     	SEL_KNN    	SHITOMASI 	SIFT     	1	118	7700	[128 x 118]	8281	125	54
MAT_BF     	SEL_KNN    	SHITOMASI 	SIFT     	2	123	5546	[128 x 123]	7273	118	51
MAT_BF     	SEL_KNN    	SHITOMASI 	SIFT     	3	120	5221	[128 x 120]	7233	123	51
MAT_BF     	SEL_KNN    	SHITOMASI 	SIFT     	4	120	5288	[128 x 120]	7476	120	50
MAT_BF     	SEL_KNN    	SHITOMASI 	SIFT     	5	113	5218	[128 x 113]	7209	120	47
MAT_BF     	SEL_KNN    	SHITOMASI 	SIFT     	6	114	5222	[128 x 114]	7157	113	47
MAT_BF     	SEL_KNN    	SHITOMASI 	SIFT     	7	123	5212	[128 x 123]	7263	114	49
MAT_BF     	SEL_KNN    	SHITOMASI 	SIFT     	8	111	5488	[128 x 111]	7420	123	49
MAT_BF     	SEL_KNN    	SHITOMASI 	SIFT     	9	112	5240	[128 x 112]	7197	111	44
MAT_BF     	SEL_KNN    	HARRIS   	BRISK     	0	17	23560	[64 x 17]	29531	0	0
MAT_BF     	SEL_KNN    	HARRIS   	BRISK     	1	14	6230	[64 x 14]	17349	17	41
MAT_BF     	SEL_KNN    	HARRIS   	BRISK     	2	19	5845	[64 x 19]	17399	14	39
MAT_BF     	SEL_KNN    	HARRIS   	BRISK     	3	22	5788	[64 x 22]	17421	19	87
MAT_BF     	SEL_KNN    	HARRIS   	BRISK     	4	26	6254	[64 x 26]	17533	22	51
MAT_BF     	SEL_KNN    	HARRIS   	BRISK     	5	47	15270	[64 x 47]	17532	26	93
MAT_BF     	SEL_KNN    	HARRIS   	BRISK     	6	18	5655	[64 x 18]	17280	47	96
MAT_BF     	SEL_KNN    	HARRIS   	BRISK     	7	33	6917	[64 x 33]	17516	18	48
MAT_BF     	SEL_KNN    	HARRIS   	BRISK     	8	27	6274	[64 x 27]	17400	33	88
MAT_BF     	SEL_KNN    	HARRIS   	BRISK     	9	35	8959	[64 x 35]	17508	27	100
MAT_BF     	SEL_KNN    	HARRIS   	BRIEF    	0	17	15188	[32 x 17]	323	0	0
MAT_BF     	SEL_KNN    	HARRIS   	BRIEF    	1	14	11831	[32 x 14]	204	17	44
MAT_BF     	SEL_KNN    	HARRIS   	BRIEF    	2	19	7553	[32 x 19]	155	14	27
MAT_BF     	SEL_KNN    	HARRIS   	BRIEF    	3	22	6114	[32 x 22]	130	19	26
MAT_BF     	SEL_KNN    	HARRIS   	BRIEF    	4	26	6009	[32 x 26]	143	22	28
MAT_BF     	SEL_KNN    	HARRIS   	BRIEF    	5	47	15151	[32 x 47]	168	26	34
MAT_BF     	SEL_KNN    	HARRIS   	BRIEF    	6	18	5515	[32 x 18]	121	47	32
MAT_BF     	SEL_KNN    	HARRIS   	BRIEF    	7	33	6851	[32 x 33]	148	18	27
MAT_BF     	SEL_KNN    	HARRIS   	BRIEF    	8	27	6103	[32 x 27]	146	33	30
MAT_BF     	SEL_KNN    	HARRIS   	BRIEF    	9	35	9003	[32 x 35]	147	27	29
MAT_BF     	SEL_KNN    	HARRIS   	ORB       	0	17	6317	[32 x 17]	2048	0	0
MAT_BF     	SEL_KNN    	HARRIS   	ORB       	1	14	6266	[32 x 14]	2038	17	28
MAT_BF     	SEL_KNN    	HARRIS   	ORB       	2	19	6107	[32 x 19]	1876	14	23
MAT_BF     	SEL_KNN    	HARRIS   	ORB       	3	22	5659	[32 x 22]	1785	19	23
MAT_BF     	SEL_KNN    	HARRIS   	ORB       	4	26	6092	[32 x 26]	1790	22	27
MAT_BF     	SEL_KNN    	HARRIS   	ORB       	5	47	15062	[32 x 47]	1807	26	33
MAT_BF     	SEL_KNN    	HARRIS   	ORB       	6	18	5443	[32 x 18]	1824	47	79
MAT_BF     	SEL_KNN    	HARRIS   	ORB       	7	33	6859	[32 x 33]	1804	18	26
MAT_BF     	SEL_KNN    	HARRIS   	ORB       	8	27	6075	[32 x 27]	1792	33	32
MAT_BF     	SEL_KNN    	HARRIS   	ORB       	9	35	8844	[32 x 35]	1790	27	30
MAT_BF     	SEL_KNN    	HARRIS   	FREAK    	0	17	19176	[64 x 17]	33049	0	0
MAT_BF     	SEL_KNN    	HARRIS   	FREAK    	1	14	6140	[64 x 14]	16646	17	30
MAT_BF     	SEL_KNN    	HARRIS   	FREAK    	2	19	5642	[64 x 19]	16472	14	26
MAT_BF     	SEL_KNN    	HARRIS   	FREAK    	3	22	5717	[64 x 22]	16943	19	66
MAT_BF     	SEL_KNN    	HARRIS   	FREAK    	4	26	6119	[64 x 26]	16492	22	32
MAT_BF     	SEL_KNN    	HARRIS   	FREAK    	5	47	15179	[64 x 47]	16628	26	39
MAT_BF     	SEL_KNN    	HARRIS   	FREAK    	6	18	5464	[64 x 18]	16502	47	37
MAT_BF     	SEL_KNN    	HARRIS   	FREAK    	7	33	6780	[64 x 33]	16514	18	31
MAT_BF     	SEL_KNN    	HARRIS   	FREAK    	8	27	6138	[64 x 27]	16756	33	35
MAT_BF     	SEL_KNN    	HARRIS   	FREAK    	9	35	9465	[64 x 35]	16976	27	60
MAT_BF     	SEL_KNN    	HARRIS   	AKAZE    	0	17	19002	[0 x 0]	-1	0	0
MAT_BF     	SEL_KNN    	HARRIS   	AKAZE    	1	14	7584	[0 x 0]	-1	0	3
MAT_BF     	SEL_KNN    	HARRIS   	AKAZE    	2	19	7787	[0 x 0]	-1	0	3
MAT_BF     	SEL_KNN    	HARRIS   	AKAZE    	3	22	5953	[0 x 0]	-1	0	3
MAT_BF     	SEL_KNN    	HARRIS   	AKAZE    	4	26	8029	[0 x 0]	-1	0	4
MAT_BF     	SEL_KNN    	HARRIS   	AKAZE    	5	47	17227	[0 x 0]	-1	0	3
MAT_BF     	SEL_KNN    	HARRIS   	AKAZE    	6	18	8194	[0 x 0]	-1	0	3
MAT_BF     	SEL_KNN    	HARRIS   	AKAZE    	7	33	8870	[0 x 0]	-1	0	3
MAT_BF     	SEL_KNN    	HARRIS   	AKAZE    	8	27	8313	[0 x 0]	-1	0	3
MAT_BF     	SEL_KNN    	HARRIS   	AKAZE    	9	35	10693	[0 x 0]	-1	0	3
MAT_BF     	SEL_KNN    	HARRIS   	SIFT     	0	17	28220	[128 x 17]	12799	0	0
MAT_BF     	SEL_KNN    	HARRIS   	SIFT     	1	14	7138	[128 x 14]	7594	17	11
MAT_BF     	SEL_KNN    	HARRIS   	SIFT     	2	19	5759	[128 x 19]	7156	14	10
MAT_BF     	SEL_KNN    	HARRIS   	SIFT     	3	22	6309	[128 x 22]	7242	19	12
MAT_BF     	SEL_KNN    	HARRIS   	SIFT     	4	26	6461	[128 x 26]	7104	22	12
MAT_BF     	SEL_KNN    	HARRIS   	SIFT     	5	47	15207	[128 x 47]	7169	26	14
MAT_BF     	SEL_KNN    	HARRIS   	SIFT     	6	18	5488	[128 x 18]	7588	47	15
MAT_BF     	SEL_KNN    	HARRIS   	SIFT     	7	33	6849	[128 x 33]	7125	18	12
