MacherTypes	SelectorTypes	DetectorType	descriptorType	FrameNo	No of KP	 KP-time 	No of Desc	Desc-time	No of Match	Match-time
MAT_BF     	SEL_NN     	SHITOMASI 	SIFT     	1	118	7560	[128 x 118]	8873	103	95
MAT_BF     	SEL_NN     	SHITOMASI 	SIFT     	2	123	5360	[128 x 123]	8144	107	162
MAT_BF     	SEL_NN     	SHITOMASI 	SIFT     	3	120	5384	[128 x 120]	7276	101	91
MAT_BF     	SEL_NN     	SHITOMASI 	SIFT     	4	120	5251	[128 x 120]	7327	104	89
MAT_BF     	SEL_NN     	SHITOMASI 	SIFT     	5	113	5144	[128 x 113]	7288	98	84
MAT_BF     	SEL_NN     	SHITOMASI 	SIFT     	6	114	5231	[128 x 114]	7274	98	81
MAT_BF     	SEL_NN     	SHITOMASI 	SIFT     	7	123	5360	[128 x 123]	7292	101	87
MAT_BF     	SEL_NN     	SHITOMASI 	SIFT     	8	111	5243	[128 x 111]	7238	101	86
MAT_BF     	SEL_NN     	SHITOMASI 	SIFT     	9	112	5227	[128 x 112]	7239	102	78
MAT_BF     	SEL_NN     	HARRIS   	BRISK     	0	17	24795	[64 x 17]	32242	0	0
MAT_BF     	SEL_NN     	HARRIS   	BRISK     	1	14	5772	[64 x 14]	17291	12	97
MAT_BF     	SEL_NN     	HARRIS   	BRISK     	2	19	5793	[64 x 19]	17461	12	51
MAT_BF     	SEL_NN     	HARRIS   	BRISK     	3	22	5844	[64 x 22]	17357	13	87
MAT_BF     	SEL_NN     	HARRIS   	BRISK     	4	26	6138	[64 x 26]	17390	16	89
MAT_BF     	SEL_NN     	HARRIS   	BRISK     	5	47	15269	[64 x 47]	17633	21	106
MAT_BF     	SEL_NN     	HARRIS   	BRISK     	6	18	5548	[64 x 18]	17373	15	96
MAT_BF     	SEL_NN     	HARRIS   	BRISK     	7	33	7002	[64 x 33]	17419	15	93
MAT_BF     	SEL_NN     	HARRIS   	BRISK     	8	27	6206	[64 x 27]	17502	24	80
MAT_BF     	SEL_NN     	HARRIS   	BRISK     	9	35	9071	[64 x 35]	17466	21	103
MAT_BF     	SEL_NN     	HARRIS   	BRIEF    	0	17	23527	[32 x 17]	291	0	0
MAT_BF     	SEL_NN     	HARRIS   	BRIEF    	1	14	8967	[32 x 14]	155	13	38
MAT_BF     	SEL_NN     	HARRIS   	BRIEF    	2	19	6719	[32 x 19]	135	13	31
MAT_BF     	SEL_NN     	HARRIS   	BRIEF    	3	22	5697	[32 x 22]	133	15	30
MAT_BF     	SEL_NN     	HARRIS   	BRIEF    	4	26	5971	[32 x 26]	135	18	34
MAT_BF     	SEL_NN     	HARRIS   	BRIEF    	5	47	15135	[32 x 47]	159	24	81
MAT_BF     	SEL_NN     	HARRIS   	BRIEF    	6	18	5473	[32 x 18]	126	16	73
MAT_BF     	SEL_NN     	HARRIS   	BRIEF    	7	33	6686	[32 x 33]	148	16	35
MAT_BF     	SEL_NN     	HARRIS   	BRIEF    	8	27	6041	[32 x 27]	136	25	77
MAT_BF     	SEL_NN     	HARRIS   	BRIEF    	9	35	8792	[32 x 35]	151	24	76
MAT_BF     	SEL_NN     	HARRIS   	ORB       	0	17	12823	[32 x 17]	4257	0	0
MAT_BF     	SEL_NN     	HARRIS   	ORB       	1	14	10324	[32 x 14]	2842	13	38
MAT_BF     	SEL_NN     	HARRIS   	ORB       	2	19	6851	[32 x 19]	2093	13	29
MAT_BF     	SEL_NN     	HARRIS   	ORB       	3	22	5765	[32 x 22]	1798	14	29
MAT_BF     	SEL_NN     	HARRIS   	ORB       	4	26	5979	[32 x 26]	1839	19	33
MAT_BF     	SEL_NN     	HARRIS   	ORB       	5	47	15188	[32 x 47]	1810	24	78
MAT_BF     	SEL_NN     	HARRIS   	ORB       	6	18	5405	[32 x 18]	1779	16	71
MAT_BF     	SEL_NN     	HARRIS   	ORB       	7	33	6839	[32 x 33]	1789	15	34
MAT_BF     	SEL_NN     	HARRIS   	ORB       	8	27	6047	[32 x 27]	1796	24	62
MAT_BF     	SEL_NN     	HARRIS   	ORB       	9	35	8810	[32 x 35]	1816	23	78
MAT_BF     	SEL_NN     	HARRIS   	FREAK    	0	17	12629	[64 x 17]	32156	0	0
MAT_BF     	SEL_NN     	HARRIS   	FREAK    	1	14	6232	[64 x 14]	16825	12	35
MAT_BF     	SEL_NN     	HARRIS   	FREAK    	2	19	5638	[64 x 19]	16291	13	53
MAT_BF     	SEL_NN     	HARRIS   	FREAK    	3	22	5625	[64 x 22]	16579	15	37
MAT_BF     	SEL_NN     	HARRIS   	FREAK    	4	26	5967	[64 x 26]	16176	18	39
MAT_BF     	SEL_NN     	HARRIS   	FREAK    	5	47	15135	[64 x 47]	16632	22	86
MAT_BF     	SEL_NN     	HARRIS   	FREAK    	6	18	5446	[64 x 18]	16171	17	84
MAT_BF     	SEL_NN     	HARRIS   	FREAK    	7	33	6750	[64 x 33]	16214	17	41
MAT_BF     	SEL_NN     	HARRIS   	FREAK    	8	27	6111	[64 x 27]	16402	20	82
MAT_BF     	SEL_NN     	HARRIS   	FREAK    	9	35	8849	[64 x 35]	16784	21	69
MAT_BF     	SEL_NN     	HARRIS   	AKAZE    	0	17	26504	[0 x 0]	-1	0	0
MAT_BF     	SEL_NN     	HARRIS   	AKAZE    	1	14	6550	[0 x 0]	-1	0	3
MAT_BF     	SEL_NN     	HARRIS   	AKAZE    	2	19	5795	[0 x 0]	-1	0	2
