MacherTypes,Sr NO,Total Time (us),KP Matches
MAT_FLANN    SEL_NN     ORB       FREAK    ,112,23593.4,61
MAT_FLANN    SEL_KNN    SHITOMASI FREAK    ,130,23916.3,118.556
MAT_FLANN    SEL_KNN    ORB       FREAK    ,154,24140.3,61
MAT_BF     SEL_NN     SHITOMASI BRISK     ,1,24165.7,91.3333
MAT_FLANN    SEL_KNN    AKAZE    BRIEF    ,158,24807.6,165.667
MAT_BF     SEL_NN     SHITOMASI FREAK    ,4,24835.3,92.1111
MAT_BF     SEL_KNN    SHITOMASI FREAK    ,46,25232.8,118.556
MAT_BF     SEL_NN     ORB       FREAK    ,28,25234.4,45.7778
MAT_FLANN    SEL_NN     SHITOMASI FREAK    ,88,25578.7,118.556
MAT_BF     SEL_NN     HARRIS   FREAK    ,10,26039.7,17.2222
MAT_FLANN    SEL_NN     AKAZE    BRIEF    ,116,26527.1,165.667
MAT_BF     SEL_NN     AKAZE    BRIEF    ,32,26732.5,139.222
MAT_FLANN    SEL_NN     HARRIS   FREAK    ,94,26932.2,24.7778
MAT_BF     SEL_KNN    AKAZE    BRIEF    ,74,27017,165.667
MAT_BF     SEL_KNN    HARRIS   FREAK    ,52,27190.6,24.7778
MAT_FLANN    SEL_KNN    HARRIS   FREAK    ,136,27225.7,24.7778
MAT_BF     SEL_NN     HARRIS   BRISK     ,7,27924.9,16.5556
MAT_BF     SEL_KNN    AKAZE    ORB       ,75,30671.9,165.667
MAT_BF     SEL_NN     ORB       BRISK     ,25,31539.1,79.6667
MAT_FLANN    SEL_KNN    AKAZE    ORB       ,159,31652.7,165.667
MAT_FLANN    SEL_NN     AKAZE    ORB       ,117,32726.8,165.667
MAT_BF     SEL_NN     AKAZE    ORB       ,33,32959.9,134
MAT_BF     SEL_KNN    AKAZE    SIFT     ,78,35091.8,165.667
MAT_FLANN    SEL_KNN    BRISK    BRIEF    ,146,36387.2,278.667
MAT_FLANN    SEL_NN     BRISK    AKAZE    ,107,37039.6,0
MAT_FLANN    SEL_KNN    AKAZE    BRISK     ,157,37141.8,165.667
MAT_FLANN    SEL_NN     BRISK    BRIEF    ,104,37881.3,278.667
MAT_FLANN    SEL_NN     AKAZE    SIFT     ,120,38542.6,165.667
MAT_BF     SEL_KNN    AKAZE    BRISK     ,73,39513.6,165.667
MAT_FLANN    SEL_KNN    AKAZE    SIFT     ,162,39702.8,165.667
MAT_BF     SEL_NN     AKAZE    SIFT     ,36,39770.4,141.889
MAT_FLANN    SEL_NN     BRISK    ORB       ,105,40140.8,278.667
MAT_FLANN    SEL_KNN    BRISK    AKAZE    ,149,40645.5,0
MAT_BF     SEL_KNN    BRISK    AKAZE    ,65,43238.4,0
MAT_BF     SEL_NN     AKAZE    BRISK     ,31,43547.8,139.556
MAT_FLANN    SEL_KNN    BRISK    ORB       ,147,44010.7,278.667
MAT_FLANN    SEL_NN     AKAZE    BRISK     ,115,44213.2,165.667
MAT_FLANN    SEL_KNN    AKAZE    FREAK    ,160,44422.1,165.667
MAT_FLANN    SEL_KNN    AKAZE    AKAZE    ,161,44760,165.667
